plantid,timestamp,mature,rank_phenomenal,rank_tracking,rank_annotation,h,l,a,l_extended
1424,1495223835,False,9,12,-1,206.0,503.2124744777374,163.53998518795996,522.0655494102127
1424,1495223835,False,10,9,-1,30.0,1074.298379919641,-156.44733644170913,1188.2904620609386
1424,1495223835,False,11,11,-1,246.0,628.9695827447052,-149.0059442748159,628.9695827447052
1424,1495310225,True,1,2,-1,-694.0,146.01802014701576,-25.235039848802337,200.9212355911982
1424,1495310225,True,2,3,-1,-562.0,294.15912852052065,148.60325093936154,323.46469883228565
1424,1495310225,True,3,4,-1,-474.0,480.18788888531435,62.57298127140348,496.8721279986592
1424,1495310225,True,4,5,-1,-374.0,757.0862412107143,-148.87273126452743,828.9941297300495
1424,1495310225,True,5,6,-1,-214.0,827.3023061570351,47.808729346193026,971.1311913468387
1424,1495310225,True,6,7,-1,-202.0,1029.8036410293284,-124.02548876325596,1140.870513371359
1424,1495310225,False,7,8,-1,-46.0,977.6956917021733,58.14202514525219,1106.9972687051263
1424,1495310225,False,8,9,-1,-46.0,1014.8415241863275,-159.1535456123082,1163.351476732247
1424,1495310225,False,9,10,-1,74.0,886.6994927048568,-37.38943782109007,995.3730054024425
1424,1495310225,False,10,11,-1,198.0,636.121828945938,-167.3229499838288,636.121828945938
1424,1495310225,False,11,13,-1,242.0,535.4967457251994,174.43366785730905,557.258665923161
1424,1495310225,False,12,12,-1,354.0,626.7335026783165,-24.479040985163124,626.7335026783165
1424,1495564435,True,1,3,-1,-622.0,144.09540235837522,153.62157936648757,164.89628778495066
1424,1495564435,True,2,4,-1,-482.0,441.7464249449955,66.07046002354456,477.7756113786197
1424,1495564435,True,3,5,-1,-378.0,772.389376924037,-145.70950423532548,791.5348334877848
1424,1495564435,True,4,6,-1,-258.0,876.6619848457556,49.9697407281103,1011.2860020420222
1424,1495564435,True,5,7,-1,-198.0,1039.8980275697202,-125.57001340880939,1111.6325531151456
1424,1495564435,True,6,8,-1,-162.0,983.1410426745998,53.32109087708403,1144.1236211726452
1424,1495564435,True,7,9,-1,-46.0,967.583328053832,-150.24772315458586,1078.530135808071
1424,1495564435,False,8,10,-1,42.0,900.5851206934194,-40.364338883511806,958.12736090296
1424,1495564435,False,9,11,-1,154.0,673.5050952699404,-165.59203004079367,673.5050952699404
1424,1495564435,False,10,12,-1,294.0,682.7276710154445,-24.990306111324813,717.6453111447864
1424,1495564435,False,11,13,-1,330.0,530.9934914503984,180.0,530.9934914503984
1424,1495564435,False,12,14,-1,486.0,533.7551724393037,-131.18592516570965,563.5017494307398
1424,1495727412,True,1,3,-1,-622.0,160.94406521010737,150.80251395393552,166.56765023328018
1424,1495727412,True,2,4,-1,-502.0,438.81822171472,66.07732567578671,478.3226710241754
1424,1495727412,True,3,5,-1,-382.0,729.2303723001005,-144.06596385059748,826.0109747627299
1424,1495727412,True,4,6,-1,-262.0,887.1910836539138,48.80494901906816,1009.1811266328031
1424,1495727412,True,5,7,-1,-170.0,1025.6248512657523,-125.64556825240923,1121.131178571477
1424,1495727412,True,6,8,-1,-118.0,1123.5353571864962,57.43808928200605,1147.9397957926255
1424,1495727412,True,7,9,-1,-42.0,1025.5935650706838,-142.7517791542967,1075.6756719684429
1424,1495727412,True,8,10,-1,66.0,831.2952335065964,-40.39182931663824,928.5567453238206
1424,1495727412,False,9,12,-1,158.0,587.3809325467716,-21.383838611103748,654.7949761865419
1424,1495727412,False,10,15,-1,186.0,432.3437278047127,-171.30521150706846,432.3437278047127
1424,1495727412,False,11,11,-1,378.0,560.3650944486566,-151.05878538185112,560.3650944486566
1424,1495727412,False,12,14,-1,406.0,438.3071999493832,176.27297022363024,488.28665884473867
1424,1495727412,False,13,13,-1,494.0,472.0,0.0,506.27206892809573
1424,1495806823,True,1,3,-1,-630.0,140.71962919760546,170.53767779197437,163.71223473247298
1424,1495806823,True,2,4,-1,-514.0,447.7040654267938,63.6540321269586,497.7622434069029
1424,1495806823,True,3,5,-1,-390.0,686.0763453117813,-145.0086301286664,817.1898888688227
1424,1495806823,True,4,6,-1,-262.0,921.8058089668133,49.70133320359818,1007.3479003489372
1424,1495806823,True,5,7,-1,-242.0,1088.6180632695764,-124.67246376841952,1148.5834546297822
1424,1495806823,True,6,8,-1,-162.0,1043.617386382848,53.37394976869026,1169.3944257429773
1424,1495806823,True,7,9,-1,-74.0,890.0510828326289,-147.38027481019407,1086.381629357565
1424,1495806823,True,8,10,-1,30.0,808.4195261159762,-37.070958557953006,888.7572826118782
1424,1495806823,True,9,11,-1,126.0,631.8072352757049,-161.16918237045226,665.7297504269179
1424,1495806823,False,10,12,-1,230.0,571.181380335713,-14.810562803480416,634.1279072756689
1424,1495806823,False,11,13,-1,310.0,568.431362672552,177.68078840450016,568.431362672552
1424,1495806823,False,12,14,-1,478.0,504.09831818981127,147.4499965078066,524.8157645181095
1424,1495989374,True,1,4,-1,-510.0,406.7500176631608,60.538870595471145,464.2948062243972
1424,1495989374,True,2,5,-1,-382.0,764.9744344038049,-145.58890829550026,798.8403771935291
1424,1495989374,True,3,6,-1,-254.0,902.5183913063064,48.959440354800606,1000.2193584844101
1424,1495989374,True,4,7,-1,-238.0,1053.6028066335466,-127.37974887936144,1136.62085846585
1424,1495989374,True,5,8,-1,-162.0,1098.4579547452845,54.00100514084704,1155.9163702725052
1424,1495989374,True,6,9,-1,-74.0,873.9527646428176,-149.79451101604397,1131.6891823362869
1424,1495989374,True,7,10,-1,-74.0,792.7389363916225,-36.48845174576502,900.89917049975
1424,1495989374,True,8,11,-1,178.0,800.2034238663863,-155.46947666858858,800.2034238663863
1424,1495989374,True,9,12,-1,294.0,535.7499228306367,-13.599660670038887,619.8197342979615
1424,1495989374,False,10,13,-1,430.0,497.28396813041905,146.54479805546782,562.5588696245906
1424,1495989374,False,11,15,-1,486.0,442.83182086812815,83.01894259317021,449.9313221758415
1424,1495989374,False,12,14,-1,750.0,413.06888093828843,118.9959595141184,437.57821381212904
1424,1496074174,True,1,4,-1,-526.0,269.279116471319,54.43181652487202,272.6301497503712
1424,1496074174,True,2,5,-1,-386.0,697.8602781158786,-134.46667096906322,802.4983977022556
1424,1496074174,True,3,6,-1,-262.0,915.1746557197531,50.051672846211616,986.6638062843552
1424,1496074174,True,4,7,-1,-202.0,976.9942111353868,-117.8006987253482,1090.476822067939
1424,1496074174,True,5,8,-1,-162.0,990.5290746282789,44.489998269220315,1152.7616962468458
1424,1496074174,True,6,9,-1,-74.0,888.2053596940502,-142.7313966730693,1095.8989207868847
1424,1496074174,True,7,10,-1,46.0,799.8649035885119,-39.663560720983774,910.6204947912652
1424,1496074174,True,8,11,-1,198.0,703.5171323653713,-152.10272896905238,703.5171323653713
1424,1496074174,True,9,12,-1,342.0,525.0932991627532,-22.57479524961713,612.3844159552687
